1-16:30 2.76
1-20:00 2.67
2-08:15 2.48
2-10:45 2.44
2-13:20 2.39
2-16:25 2.33
2-20:40 2.25
3-07:50 2.03
3-11:20 1.97
3-15:50 1.86
3-19:35 1.78
3-23:00 1.69
4-08:00 1.44
4-19:55 0.94
4-23:20 0.68
5-1:20 0.35
5-7:00 0.26
